,Postcode,Bedrooms,RentalUnitDesc,VUDate,VTDate,TENDate,RUUseType,HousingServiceCentre,VUDays,VTDays,TotalVAC,LGA,StateElectorate,PropertyType,TotalVacDays,Program,LocalGovtAuthority,Year
53,4077,2,2 BR DETACHED HOUSE,31/01/2018,15/02/2018,19/02/2018,RGS,104,15,4,19.0,BRISBANE,INALA,,,,,2018
54,4077,3,3 BR DETACHED HOUSE,4/05/2018,4/05/2018,4/05/2018,RGS,104,0,0,0.0,BRISBANE,INALA,,,,,2018
55,4077,3,3 BR DETACHED HOUSE,1/11/2017,1/11/2017,3/11/2017,RGS,104,0,2,2.0,BRISBANE,INALA,,,,,2017
56,4077,2,2 BR DETACHED HOUSE,1/11/2017,23/11/2017,24/11/2017,RGS,104,22,1,23.0,BRISBANE,INALA,,,,,2017
57,4077,3,3 BR DETACHED HOUSE,5/03/2018,28/03/2018,3/04/2018,RGS,104,23,6,29.0,BRISBANE,INALA,,,,,2018
58,4054,1,1 BR SENIOR UNIT,28/06/2017,10/07/2017,26/07/2017,SNR,108,12,16,28.0,BRISBANE,FERNY GROVE,,,,,2017
59,4054,1,1 BR SENIOR UNIT,26/04/2018,4/05/2018,9/05/2018,SNR,108,8,5,13.0,BRISBANE,FERNY GROVE,,,,,2018
60,4077,2,2 BR DUPLEX,3/07/2017,3/07/2017,3/07/2017,RGS,104,0,0,0.0,BRISBANE,INALA,,,,,2017
61,4077,2,2 BR ATTACHED HOUSING,2/01/2018,15/01/2018,17/01/2018,RGS,104,13,2,15.0,BRISBANE,INALA,,,,,2018
62,4053,2,2 BR APARTMENT,1/12/2017,15/12/2017,12/02/2018,RGS,105,14,59,73.0,BRISBANE,STAFFORD,,,,,2018
63,4053,2,2 BR APARTMENT,6/02/2018,21/02/2018,28/03/2018,RGS,105,15,35,50.0,BRISBANE,STAFFORD,,,,,2018
64,4053,2,2 BR APARTMENT,13/04/2018,27/04/2018,28/05/2018,RGS,105,14,31,45.0,BRISBANE,STAFFORD,,,,,2018
65,4077,3,3 BR DETACHED HOUSE,2/02/2018,15/02/2018,2/03/2018,RGS,104,13,15,28.0,BRISBANE,INALA,,,,,2018
66,4077,3,3 BR DETACHED HOUSE,9/10/2017,27/10/2017,1/11/2017,RGS,104,18,5,23.0,BRISBANE,INALA,,,,,2017
67,4077,3,3 BR DETACHED HOUSE,14/11/2017,23/11/2017,24/11/2017,RGS,104,9,1,10.0,BRISBANE,INALA,,,,,2017
68,4077,3,3 BR DETACHED HOUSE,8/05/2018,8/05/2018,8/05/2018,RGS,104,0,0,0.0,BRISBANE,INALA,,,,,2018
69,4077,3,3 BR DETACHED HOUSE,21/05/2018,7/06/2018,8/06/2018,RGS,104,17,1,18.0,BRISBANE,INALA,,,,,2018
70,4077,3,3 BR DETACHED HOUSE,23/10/2017,6/11/2017,7/11/2017,RGS,104,14,1,15.0,BRISBANE,INALA,,,,,2017
71,4077,2,2 BR DETACHED HOUSE,13/11/2017,29/11/2017,1/12/2017,RGS,104,16,2,18.0,BRISBANE,INALA,,,,,2017
72,4077,2,2 BR DETACHED HOUSE,13/11/2017,13/11/2017,13/11/2017,RGS,104,0,0,0.0,BRISBANE,INALA,,,,,2017
73,4053,4,4 BR DETACHED HOUSE,26/04/2018,27/04/2018,30/04/2018,RGS,105,1,3,4.0,BRISBANE,STAFFORD,,,,,2018
74,4053,3,3 BR DETACHED HOUSE,7/03/2018,8/03/2018,11/04/2018,RGS,105,1,34,35.0,BRISBANE,STAFFORD,,,,,2018
75,4053,3,3 BR DETACHED HOUSE,12/06/2017,27/06/2017,4/07/2017,RGS,105,15,7,22.0,BRISBANE,STAFFORD,,,,,2017
76,4053,3,3 BR DETACHED HOUSE,22/11/2017,15/12/2017,5/02/2018,RGS,105,23,52,75.0,BRISBANE,STAFFORD,,,,,2018
77,4053,3,3 BR DETACHED HOUSE,7/06/2018,13/06/2018,19/06/2018,RGS,105,6,6,12.0,BRISBANE,STAFFORD,,,,,2018
78,4053,3,3 BR DETACHED HOUSE,23/05/2018,8/06/2018,15/06/2018,RGS,105,16,7,23.0,BRISBANE,STAFFORD,,,,,2018
79,4053,3,3 BR DETACHED HOUSE,20/11/2017,21/12/2017,16/01/2018,RGS,105,31,26,57.0,BRISBANE,STAFFORD,,,,,2018
80,4053,3,3 BR DETACHED HOUSE,10/11/2017,7/12/2017,20/12/2017,RGS,105,27,13,40.0,BRISBANE,STAFFORD,,,,,2017
81,4572,2,2 BR ATTACHED HOUSING,10/01/2018,22/01/2018,1/02/2018,RGS,205,12,10,22.0,SUNSHINE COAST,MAROOCHYDORE,,,,,2018
82,4572,2,2 BR ATTACHED HOUSING,21/02/2018,9/03/2018,16/04/2018,RGS,205,16,38,54.0,SUNSHINE COAST,MAROOCHYDORE,,,,,2018
83,4572,1,1 BR SENIOR UNIT,18/04/2018,27/04/2018,24/05/2018,SNR,205,9,27,36.0,SUNSHINE COAST,MAROOCHYDORE,,,,,2018
84,4572,2,2 BR APARTMENT,4/05/2017,26/05/2017,3/07/2017,RGS,205,22,38,60.0,SUNSHINE COAST,MAROOCHYDORE,,,,,2017
85,4161,3,3 BR DETACHED HOUSE,8/03/2018,28/03/2018,6/04/2018,RGS,106,20,9,29.0,REDLAND,CAPALABA,,,,,2018
86,4161,3,3 BR DETACHED HOUSE,24/04/2018,16/05/2018,22/05/2018,RGS,106,22,6,28.0,REDLAND,CAPALABA,,,,,2018
87,4161,2,2 BR ATTACHED HOUSING,20/02/2018,13/03/2018,22/03/2018,RGS,106,21,9,30.0,REDLAND,CAPALABA,,,,,2018
88,4161,1,1 BR SENIOR UNIT,12/07/2017,20/07/2017,3/08/2017,SNR,106,8,14,22.0,REDLAND,CAPALABA,,,,,2017
89,4161,1,1 BR SENIOR UNIT,21/07/2017,28/08/2017,4/09/2017,SNR,106,38,7,45.0,REDLAND,CAPALABA,,,,,2017
90,4161,1,1 BR SENIOR UNIT,29/08/2017,14/09/2017,15/11/2017,SNR,106,16,62,78.0,REDLAND,CAPALABA,,,,,2017
91,4161,1,1 BR SENIOR UNIT,15/03/2018,28/03/2018,29/03/2018,SNR,106,13,1,14.0,REDLAND,CAPALABA,,,,,2018
92,4161,1,1 BR SENIOR UNIT,20/06/2017,3/07/2017,6/07/2017,SNR,106,13,3,16.0,REDLAND,CAPALABA,,,,,2017
93,4161,1,1 BR SENIOR UNIT,11/07/2017,18/07/2017,25/07/2017,SNR,106,7,7,14.0,REDLAND,CAPALABA,,,,,2017
94,4161,1,1 BR SENIOR UNIT,29/05/2018,14/06/2018,25/06/2018,SNR,106,16,11,27.0,REDLAND,CAPALABA,,,,,2018
95,4161,1,1 BR SENIOR UNIT,23/02/2018,6/03/2018,15/03/2018,SNR,106,11,9,20.0,REDLAND,CAPALABA,,,,,2018
96,4161,1,1 BR SENIOR UNIT,28/11/2017,13/12/2017,13/12/2017,SNR,106,15,0,15.0,REDLAND,CAPALABA,,,,,2017
97,4161,2,2 BR ATTACHED HOUSING,11/12/2017,21/12/2017,22/12/2017,RGS,106,10,1,11.0,REDLAND,CAPALABA,,,,,2017
98,4161,5,5 BR DETACHED HOUSE,21/05/2018,21/06/2018,21/06/2018,RGS,106,31,0,31.0,REDLAND,CAPALABA,,,,,2018
99,4161,2,2 BR CLUSTER HOUSING,9/04/2018,23/04/2018,8/05/2018,RGS,106,14,15,29.0,REDLAND,CAPALABA,,,,,2018
100,4054,3,3 BR DETACHED HOUSE,2/11/2017,17/11/2017,6/12/2017,RGS,103,15,19,34.0,MORETON BAY,FERNY GROVE,,,,,2017
101,4054,3,3 BR DETACHED HOUSE,4/05/2018,4/05/2018,15/05/2018,RGS,103,0,11,11.0,MORETON BAY,FERNY GROVE,,,,,2018
102,4054,3,3 BR DETACHED HOUSE,21/05/2018,21/05/2018,21/05/2018,RGS,103,0,0,0.0,MORETON BAY,FERNY GROVE,,,,,2018
103,4054,3,3 BR DETACHED HOUSE,20/04/2018,10/05/2018,17/05/2018,RGS,103,20,7,27.0,MORETON BAY,FERNY GROVE,,,,,2018
104,4054,3,3 BR DETACHED HOUSE,19/06/2017,30/06/2017,10/07/2017,RGS,103,11,10,21.0,MORETON BAY,FERNY GROVE,,,,,2017
105,4883,3,3 BR DETACHED HOUSE,11/07/2017,26/07/2017,16/08/2017,RGS,202,15,21,36.0,TABLELANDS,HILL,,,,,2017
106,4883,1,1 BR SENIOR UNIT,17/11/2017,28/11/2017,18/12/2017,SNR,202,11,20,31.0,TABLELANDS,HILL,,,,,2017
107,4883,1,1 BR SENIOR UNIT,23/01/2018,9/02/2018,7/03/2018,SNR,202,17,26,43.0,TABLELANDS,HILL,,,,,2018
108,4883,1,1 BR SENIOR UNIT,4/07/2017,18/07/2017,23/08/2017,SNR,202,14,36,50.0,TABLELANDS,HILL,,,,,2017
109,4883,1,1 BR SENIOR UNIT,6/12/2017,18/12/2017,4/01/2018,SNR,202,12,17,29.0,TABLELANDS,HILL,,,,,2018
110,4883,1,1 BR SENIOR UNIT,19/01/2018,6/02/2018,23/02/2018,SNR,202,18,17,35.0,TABLELANDS,HILL,,,,,2018
111,4883,1,1 BR APARTMENT,17/08/2017,25/08/2017,31/08/2017,RGS,202,8,6,14.0,TABLELANDS,HILL,,,,,2017
112,4883,2,2 BR CLUSTER HOUSING,15/01/2018,16/01/2018,16/01/2018,RGS,202,1,0,1.0,TABLELANDS,HILL,,,,,2018
113,4883,2,2 BR CLUSTER HOUSING,25/10/2017,3/11/2017,13/11/2017,RGS,202,9,10,19.0,TABLELANDS,HILL,,,,,2017
114,4883,2,2 BR CLUSTER HOUSING,29/09/2017,29/09/2017,29/09/2017,RGS,202,0,0,0.0,TABLELANDS,HILL,,,,,2017
115,4883,2,2 BR CLUSTER HOUSING,9/04/2018,30/04/2018,1/05/2018,RGS,202,21,1,22.0,TABLELANDS,HILL,,,,,2018
116,4883,2,2 BR SENIOR UNIT,25/07/2017,4/08/2017,4/09/2017,SNR,202,10,31,41.0,TABLELANDS,HILL,,,,,2017
117,4883,1,1 BR SENIOR UNIT,25/01/2018,6/02/2018,19/02/2018,SNR,202,12,13,25.0,TABLELANDS,HILL,,,,,2018
118,4883,3,3 BR DETACHED HOUSE,21/11/2017,1/12/2017,4/12/2017,RGS,202,10,3,13.0,TABLELANDS,HILL,,,,,2017
119,4883,3,3 BR DETACHED HOUSE,19/06/2017,3/07/2017,28/07/2017,AHG,202,14,25,39.0,TABLELANDS,HILL,,,,,2017
120,4807,2,2 BR SENIOR UNIT,4/08/2017,11/08/2017,9/10/2017,SNR,201,7,59,66.0,BURDEKIN,BURDEKIN,,,,,2017
121,4807,3,3 BR DETACHED HOUSE,9/11/2017,22/11/2017,28/11/2017,RGS,201,13,6,19.0,BURDEKIN,BURDEKIN,,,,,2017
122,4807,3,3 BR DETACHED HOUSE,2/11/2017,14/11/2017,24/11/2017,RGS,201,12,10,22.0,BURDEKIN,BURDEKIN,,,,,2017
123,4807,3,3 BR DETACHED HOUSE,13/02/2018,22/02/2018,27/03/2018,RGS,201,9,33,42.0,BURDEKIN,BURDEKIN,,,,,2018
124,4807,3,3 BR DETACHED HOUSE,23/10/2017,25/10/2017,25/10/2017,RGS,201,2,0,2.0,BURDEKIN,BURDEKIN,,,,,2017
125,4807,3,3 BR DETACHED HOUSE,2/02/2018,19/02/2018,12/03/2018,RGS,201,17,21,38.0,BURDEKIN,BURDEKIN,,,,,2018
126,4807,3,3 BR DETACHED HOUSE,30/08/2017,11/09/2017,26/09/2017,RGS,201,12,15,27.0,BURDEKIN,BURDEKIN,,,,,2017
127,4807,3,3 BR DETACHED HOUSE,21/02/2018,5/03/2018,27/03/2018,RGS,201,12,22,34.0,BURDEKIN,BURDEKIN,,,,,2018
128,4807,3,3 BR DETACHED HOUSE,25/07/2017,2/08/2017,15/08/2017,RGS,201,8,13,21.0,BURDEKIN,BURDEKIN,,,,,2017
129,4807,1,1 BR SENIOR UNIT,12/04/2018,24/04/2018,4/05/2018,SNR,201,12,10,22.0,BURDEKIN,BURDEKIN,,,,,2018
130,4807,1,1 BR SENIOR UNIT,30/01/2018,5/02/2018,12/02/2018,SNR,201,6,7,13.0,BURDEKIN,BURDEKIN,,,,,2018
131,4807,2,2 BR ATTACHED HOUSING,4/05/2018,15/05/2018,24/05/2018,RGS,201,11,9,20.0,BURDEKIN,BURDEKIN,,,,,2018
132,4807,2,2 BR ATTACHED HOUSING,16/02/2018,5/03/2018,15/03/2018,RGS,201,17,10,27.0,BURDEKIN,BURDEKIN,,,,,2018
133,4807,5,5 BR DETACHED HOUSE,12/10/2017,24/10/2017,2/11/2017,RGS,201,12,9,21.0,BURDEKIN,BURDEKIN,,,,,2017
134,4807,3,3 BR CLUSTER HOUSING,30/11/2017,13/12/2017,11/01/2018,RGS,201,13,29,42.0,BURDEKIN,BURDEKIN,,,,,2018
135,4807,2,2 BR DUPLEX,21/08/2017,25/08/2017,11/09/2017,RGS,201,4,17,21.0,BURDEKIN,BURDEKIN,,,,,2017
136,4807,2,2 BR APARTMENT,30/04/2018,9/05/2018,21/05/2018,RGS,201,9,12,21.0,BURDEKIN,BURDEKIN,,,,,2018
137,4807,3,3 BR DUPLEX,10/11/2017,27/11/2017,16/02/2018,AHG,201,17,81,98.0,BURDEKIN,BURDEKIN,,,,,2018
138,4807,3,3 BR DETACHED HOUSE,14/11/2017,19/12/2017,26/04/2018,AHG,201,35,128,163.0,BURDEKIN,BURDEKIN,,,,,2018
139,4807,4,4 BR DETACHED HOUSE,19/02/2018,1/03/2018,14/03/2018,RGS,201,10,13,23.0,BURDEKIN,BURDEKIN,,,,,2018
140,4170,1,1 BR APARTMENT,1/08/2017,3/08/2017,4/08/2017,RGS,109,2,1,3.0,BRISBANE,BULIMBA,,,,,2017
141,4170,1,1 BR APARTMENT,1/08/2017,3/08/2017,4/08/2017,RGS,109,2,1,3.0,BRISBANE,BULIMBA,,,,,2017
142,4170,1,1 BR APARTMENT,1/08/2017,3/08/2017,22/08/2017,RGS,109,2,19,21.0,BRISBANE,BULIMBA,,,,,2017
143,4170,1,1 BR APARTMENT,1/08/2017,3/08/2017,7/08/2017,RGS,109,2,4,6.0,BRISBANE,BULIMBA,,,,,2017
144,4170,1,1 BR APARTMENT,1/08/2017,3/08/2017,7/08/2017,RGS,109,2,4,6.0,BRISBANE,BULIMBA,,,,,2017
145,4105,1,1 BR APARTMENT,19/06/2018,19/06/2018,22/06/2018,RGS,107,0,3,3.0,BRISBANE,TOOHEY,,,,,2018
146,4105,1,1 BR APARTMENT,19/06/2018,19/06/2018,22/06/2018,RGS,107,0,3,3.0,BRISBANE,TOOHEY,,,,,2018
147,4105,1,1 BR APARTMENT,19/06/2018,19/06/2018,28/06/2018,RGS,107,0,9,9.0,BRISBANE,TOOHEY,,,,,2018
148,4053,2,2 BR APARTMENT,26/03/2018,9/04/2018,26/04/2018,RGS,105,14,17,31.0,BRISBANE,STAFFORD,,,,,2018
149,4053,2,2 BR APARTMENT,31/07/2017,15/08/2017,28/08/2017,RGS,105,15,13,28.0,BRISBANE,STAFFORD,,,,,2017
150,4053,2,2 BR APARTMENT,26/04/2018,10/05/2018,29/05/2018,RGS,105,14,19,33.0,BRISBANE,STAFFORD,,,,,2018
151,4053,3,3 BR DETACHED HOUSE,20/07/2017,11/08/2017,7/09/2017,RGS,105,22,27,49.0,BRISBANE,STAFFORD,,,,,2017
152,4051,2,2 BR APARTMENT,5/06/2018,20/06/2018,21/06/2018,RGS,108,15,1,16.0,BRISBANE,EVERTON,,,,,2018
153,4051,1,1 BR APARTMENT,13/06/2017,23/06/2017,5/07/2017,RGS,108,10,12,22.0,BRISBANE,EVERTON,,,,,2017
154,4032,3,3 BR DETACHED HOUSE,13/06/2017,27/06/2017,5/07/2017,RGS,105,14,8,22.0,BRISBANE,STAFFORD,,,,,2017
155,4032,2,2 BR APARTMENT,22/11/2017,22/11/2017,22/11/2017,RGS,105,0,0,0.0,BRISBANE,STAFFORD,,,,,2017
156,4012,3,3 BR DETACHED HOUSE,12/03/2018,27/03/2018,3/04/2018,RGS,105,15,7,22.0,BRISBANE,STAFFORD,,,,,2018
157,4012,1,1 BR SENIOR UNIT,14/12/2017,4/01/2018,19/02/2018,SNR,105,21,46,67.0,BRISBANE,NUDGEE,,,,,2018
158,4012,1,1 BR SENIOR UNIT,26/04/2018,4/05/2018,18/05/2018,SNR,105,8,14,22.0,BRISBANE,NUDGEE,,,,,2018
159,4012,1,1 BR SENIOR UNIT,15/03/2018,28/03/2018,17/04/2018,SNR,105,13,20,33.0,BRISBANE,NUDGEE,,,,,2018
160,4170,2,2 BR DETACHED HOUSE,25/08/2017,25/08/2017,25/08/2017,RGS,109,0,0,0.0,BRISBANE,BULIMBA,,,,,2017
161,4053,2,2 BR DETACHED HOUSE,16/02/2018,7/03/2018,9/04/2018,RGS,105,19,33,52.0,BRISBANE,STAFFORD,,,,,2018
162,4053,2,2 BR DUPLEX,13/11/2017,18/01/2018,6/04/2018,RGS,105,66,78,144.0,BRISBANE,STAFFORD,,,,,2018
163,4012,1,1 BR APARTMENT,30/08/2017,14/09/2017,20/09/2017,RGS,105,15,6,21.0,BRISBANE,NUDGEE,,,,,2017
164,4051,2,2 BR DETACHED HOUSE,15/12/2017,17/01/2018,18/01/2018,RGS,108,33,1,34.0,BRISBANE,FERNY GROVE,,,,,2018
165,4051,3,3 BR DETACHED HOUSE,16/03/2018,3/04/2018,4/04/2018,RGS,108,18,1,19.0,BRISBANE,FERNY GROVE,,,,,2018
166,4121,2,2 BR APARTMENT,7/03/2018,8/03/2018,9/04/2018,RGS,107,1,32,33.0,BRISBANE,GREENSLOPES,,,,,2018
167,4152,2,2 BR APARTMENT,29/06/2017,11/07/2017,12/07/2017,RGS,107,12,1,13.0,BRISBANE,CHATSWORTH,,,,,2017
168,4152,3,3 BR DETACHED HOUSE,17/01/2018,18/01/2018,22/01/2018,RGS,107,1,4,5.0,BRISBANE,CHATSWORTH,,,,,2018
169,4053,2,2 BR DETACHED HOUSE,1/02/2018,14/02/2018,21/03/2018,RGS,105,13,35,48.0,BRISBANE,STAFFORD,,,,,2018
170,4032,2,2 BR APARTMENT,31/08/2017,14/09/2017,22/09/2017,RGS,105,14,8,22.0,BRISBANE,STAFFORD,,,,,2017
171,4053,2,2 BR APARTMENT,4/06/2018,4/06/2018,5/06/2018,RGS,105,0,1,1.0,BRISBANE,STAFFORD,,,,,2018
172,4053,2,2 BR APARTMENT,4/01/2018,18/01/2018,16/03/2018,RGS,105,14,57,71.0,BRISBANE,STAFFORD,,,,,2018
173,4053,1,1 BR APARTMENT,1/05/2018,16/05/2018,12/06/2018,RGS,105,15,27,42.0,BRISBANE,STAFFORD,,,,,2018
174,4053,2,2 BR SENIOR UNIT,8/11/2017,28/11/2017,1/12/2017,SNR,105,20,3,23.0,BRISBANE,STAFFORD,,,,,2017
175,4032,2,2 BR DUPLEX,29/11/2017,20/12/2017,9/01/2018,RGS,105,21,20,41.0,BRISBANE,STAFFORD,,,,,2018
176,4032,4,4 BR DETACHED HOUSE,7/11/2017,8/11/2017,23/11/2017,RGS,105,1,15,16.0,BRISBANE,STAFFORD,,,,,2017
177,4178,2,2 BR DETACHED HOUSE,23/03/2018,8/05/2018,28/05/2018,RGS,109,46,20,66.0,BRISBANE,LYTTON,,,,,2018
178,4054,2,2 BR DETACHED HOUSE,5/06/2018,5/06/2018,5/06/2018,RGS,108,0,0,0.0,BRISBANE,FERNY GROVE,,,,,2018
